                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1128,                 1.4678,                 1.4336,                0.74437,                0.55052,                0.65688,                0.40796,                 1.4489,                 1.9859,                 1.9078,               0.007822,               0.007822,               0.007822
                     35,                 1.1232,                 1.5366,                 1.4299,                0.82995,                0.52386,                0.63751,                 0.3949,                 1.5004,                 2.0348,                 1.9637,               0.007756,               0.007756,               0.007756
                     36,                 1.1757,                 1.4968,                   1.45,                0.62586,                 0.5308,                0.60018,                0.37322,                 1.4231,                  2.102,                 1.8763,                0.00769,                0.00769,                0.00769
                     37,                 1.1191,                 1.4967,                 1.4151,                0.70318,                 0.5055,                0.60862,                0.37781,                 1.4682,                 2.0292,                 1.9336,               0.007624,               0.007624,               0.007624
                     38,                 1.0914,                 1.4418,                 1.4116,                0.70078,                0.60183,                0.65588,                0.42722,                 1.4181,                 1.8607,                 1.8792,               0.007558,               0.007558,               0.007558
                     39,                 1.1001,                 1.4627,                 1.4208,                0.59557,                0.66013,                0.64656,                0.43681,                 1.3095,                 1.8489,                 1.7429,               0.007492,               0.007492,               0.007492
                     40,                 1.0788,                 1.3815,                 1.3831,                0.75408,                0.50545,                0.65305,                0.42382,                 1.3562,                 1.8491,                 1.8447,               0.007426,               0.007426,               0.007426
                     41,                 1.0743,                 1.3748,                 1.4093,                0.60971,                0.65374,                0.67959,                0.43276,                 1.3541,                 1.8184,                 1.7863,                0.00736,                0.00736,                0.00736
                     42,                 1.0992,                 1.3519,                 1.4017,                  0.631,                0.63843,                0.63688,                0.40592,                 1.3573,                 1.8276,                 1.8611,               0.007294,               0.007294,               0.007294
                     43,                 1.1104,                 1.3881,                 1.3936,                0.66101,                0.62123,                0.64301,                0.40293,                  1.411,                 1.7634,                 1.8646,               0.007228,               0.007228,               0.007228
                     44,                  1.081,                 1.3271,                 1.3858,                 0.6333,                0.54978,                0.63481,                0.39396,                 1.4484,                 1.8651,                 1.9869,               0.007162,               0.007162,               0.007162
                     45,                 1.0156,                 1.2782,                 1.3447,                0.64938,                0.59955,                0.63575,                 0.4171,                 1.4073,                 1.7356,                 1.8644,               0.007096,               0.007096,               0.007096
                     46,                 1.0434,                 1.3106,                 1.3732,                0.70564,                0.59933,                0.67015,                0.45021,                 1.2987,                 1.5965,                 1.7585,                0.00703,                0.00703,                0.00703
                     47,                 1.0349,                 1.2759,                 1.3658,                0.64588,                 0.7018,                0.70561,                0.48769,                 1.3118,                 1.6331,                  1.785,               0.006964,               0.006964,               0.006964
                     48,                 1.0297,                 1.2491,                 1.3718,                0.60118,                0.64101,                0.63291,                0.40167,                 1.3813,                 1.9071,                 1.8006,               0.006898,               0.006898,               0.006898
                     49,                 1.0321,                 1.2165,                 1.3379,                0.59314,                0.61279,                0.62875,                0.42538,                 1.3626,                 1.7748,                 1.7506,               0.006832,               0.006832,               0.006832
                     50,                 1.0413,                 1.2408,                 1.3516,                0.78337,                0.50407,                0.63191,                0.42535,                 1.3236,                 1.7751,                 1.7959,               0.006766,               0.006766,               0.006766
                     51,                 1.0145,                 1.2253,                 1.3291,                0.69089,                0.55183,                0.62411,                0.40726,                  1.394,                 1.8663,                 1.8526,                 0.0067,                 0.0067,                 0.0067
                     52,                0.98869,                 1.2017,                 1.3105,                0.66888,                0.68064,                0.73381,                0.48057,                 1.3739,                 1.5959,                 1.8089,               0.006634,               0.006634,               0.006634
                     53,                 1.0592,                 1.2966,                 1.3906,                0.73746,                0.66153,                0.72674,                0.46547,                 1.3848,                 1.6985,                 1.8624,               0.006568,               0.006568,               0.006568
                     54,                 1.0568,                 1.2035,                 1.3529,                0.65068,                0.66037,                0.68687,                0.44687,                 1.3464,                 1.6013,                 1.7523,               0.006502,               0.006502,               0.006502
                     55,                0.98358,                 1.1719,                 1.3087,                0.79478,                0.59051,                0.72112,                0.46032,                 1.3643,                 1.4668,                 1.8172,               0.006436,               0.006436,               0.006436
